id;line_1;line_2;city;state_id;zip_code_id
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;1;1
2;Sports withdrawal Architect;JSON supply-chains Pants;Jordiview;2;2
3;Buckinghamshire;Account;Effertzville;3;3
4;Credit;microchip Chile Tuna;Lake Jerrold;4;4
5;invoice Hat;Dollar Incredible;La Mesa;5;5
6;Pizza;interactive;Hintzview;6;6
7;orchid Leone Alaska;Guilder;VonRuedenside;7;7
8;National Soap;calculating Shoes;Tacoma;8;8
9;Shirt;USB;New Isabelle;9;9
10;Bacon morph;override projection Taka;White Plains;10;10
